N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
92,NH투자증권,"9,280",90,+0.98%,"5,000","26,115","281,409",13.64,"1,160,063",6.07,9.12,
93,대우조선해양,"23,750","1,150",+5.09%,"5,000","25,461","107,206",9.32,"537,244",-27.39,-1.22,
94,GS리테일,"32,500",200,-0.61%,"1,000","25,025","77,000",16.53,"266,239",14.98,6.25,
95,키움증권,"109,000","1,000",+0.93%,"5,000","24,109","22,119",24.76,"97,036",7.31,16.97,
96,CJ,"81,500",800,-0.97%,"5,000","23,779","29,177",19.01,"95,132",15.84,6.24,
97,KODEX 200선물인버스2X,"4,060",80,-1.93%,0,"23,633","582,100",1.75,"123,528,460",N/A,N/A,
98,HMM,"7,080",590,+9.09%,"5,000","23,132","326,726",7.83,"24,632,890",-9.08,-55.46,
99,휠라홀딩스,"38,000",500,-1.30%,"1,000","23,086","60,752",45.51,"314,229",11.50,23.81,
100,일진머티리얼즈,"49,550",50,-0.10%,500,"22,848","46,111",9.00,"446,380",44.84,8.52,
101,한샘,"96,200","1,000",-1.03%,"1,000","22,640","23,534",24.70,"83,925",43.29,7.32,
102,한화,"30,150",50,-0.17%,"5,000","22,600","74,959",19.48,"979,597",15.79,2.09,
103,한국항공우주,"23,050",200,-0.86%,"5,000","22,468","97,475",14.44,"439,936",14.38,15.84,
104,부광약품,"34,500",100,-0.29%,500,"22,369","64,838",4.87,"1,082,975",802.33,-2.00,
105,KODEX 레버리지,"15,295",275,+1.83%,0,"22,178","145,000",1.12,"36,991,297",N/A,N/A,
106,롯데쇼핑,"78,300",200,+0.26%,"5,000","22,150","28,289",11.68,"164,773",-1.63,-8.14,
107,삼성엔지니어링,"11,200",0,0.00%,"5,000","21,952","196,000",30.61,"783,325",8.49,24.62,
108,메리츠증권,"3,235",10,+0.31%,"1,000","21,867","675,962",12.27,"2,218,328",4.41,15.06,
109,제일기획,"18,800",200,-1.05%,200,"21,628","115,041",29.85,"520,251",16.82,15.09,
110,한국가스공사,"23,350",50,-0.21%,"5,000","21,555","92,313",8.88,"289,320",-4.83,0.48,
111,오뚜기,"596,000","9,000",+1.53%,"5,000","21,487","3,605",17.60,"7,102",17.02,7.79,
112,농심,"349,000","6,000",+1.75%,"5,000","21,228","6,083",19.71,"26,534",17.36,3.72,
113,BGF리테일,"119,000","2,000",-1.65%,"1,000","20,568","17,284",32.00,"50,808",15.88,26.46,
114,신세계,"206,000","1,000",-0.48%,"5,000","20,281","9,845",28.09,"150,757",-7.59,14.24,
115,한올바이오파마,"38,650",300,-0.77%,500,"20,191","52,241",6.79,"703,252",94.04,14.90,
116,GS건설,"25,200",50,-0.20%,"5,000","20,185","80,098",28.80,"337,582",5.29,11.79,
117,현대차우,"82,800",300,+0.36%,"5,000","20,167","24,357",55.53,"61,984",11.93,N/A,
118,현대해상,"22,150",250,-1.12%,500,"19,802","89,400",40.08,"326,297",6.51,6.23,
119,씨에스윈드,"114,500",500,-0.43%,500,"19,792","17,286",8.59,"287,746",46.87,9.92,
120,대웅,"33,250",300,-0.89%,500,"19,332","58,142",6.88,"569,190",41.56,10.43,
121,LS,"59,900",500,+0.84%,"5,000","19,288","32,200",11.09,"487,624",-44.34,0.80,
122,LS ELECTRIC,"63,300","1,200",+1.93%,"5,000","18,990","30,000",15.86,"307,861",19.53,7.82,
123,영진약품,"10,250","1,400",-12.02%,500,"18,746","182,893",4.81,"21,715,441",788.46,4.43,
124,종근당,"169,500","1,500",-0.88%,"2,500","18,451","10,886",12.66,"100,805",24.32,11.94,
125,현대로템,"16,500",200,+1.23%,"5,000","18,008","109,142",3.50,"2,219,680",-4.95,-37.93,
126,팬오션,"3,310",5,-0.15%,"1,000","17,694","534,569",11.20,"1,849,838",11.99,5.49,
127,KODEX 단기채권,"102,465",10,+0.01%,0,"17,613","17,189",3.49,"6,737",N/A,N/A,
128,포스코인터내셔널,"13,900",150,+1.09%,"5,000","17,149","123,375",16.20,"228,685",9.57,7.06,
129,OCI,"71,800",0,0.00%,"5,000","17,124","23,849",16.49,"402,146",-2.11,-26.20,
130,두산인프라코어,"8,020",120,+1.52%,"5,000","16,850","210,103",4.67,"4,670,672",12.17,11.59,
131,한솔케미칼,"149,000",500,+0.34%,"5,000","16,830","11,295",31.68,"71,013",16.19,20.88,
132,효성,"79,500",500,+0.63%,"5,000","16,751","21,071",5.77,"283,585",61.34,4.25,
133,BNK금융지주,"5,110",30,+0.59%,"5,000","16,655","325,935",47.10,"1,189,758",3.19,7.07,
134,DB하이텍,"37,300",150,+0.40%,"5,000","16,561","44,399",31.78,"915,233",10.21,17.40,
135,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.30,0,25.00,8.38,
136,유나이티드제약,"100,000","22,600",+29.20%,500,"16,245","16,245",12.31,"5,997,115",52.11,12.79,
137,현대엘리베이,"40,800",150,-0.37%,"5,000","15,785","38,690",25.32,"244,633",28.20,5.22,
138,HDC현대산업개발,"23,600",400,-1.67%,"5,000","15,554","65,907",9.33,"764,847",3.35,20.30,
139,NHN,"79,200",400,-0.50%,500,"15,495","19,565",11.34,"148,959",60.32,0.78,
140,한국테크놀로지그룹,"16,150",500,-3.00%,500,"15,023","93,020",6.55,"1,047,945",11.95,4.71,
141,LG생활건강우,"709,000","1,000",+0.14%,"5,000","14,887","2,100",87.52,"3,350",16.17,N/A,
142,롯데정밀화학,"56,800",200,+0.35%,"5,000","14,654","25,800",23.91,"149,893",7.49,11.73,
143,메리츠화재,"12,700",50,+0.40%,500,"14,437","113,680",11.78,"129,103",4.11,12.80,
144,한화에어로스페이스,"28,350",200,+0.71%,"5,000","14,354","50,630",16.64,"475,149",13.40,5.45,
145,일양약품,"75,000","1,800",-2.34%,"2,500","14,314","19,086",8.62,"683,892",154.32,5.20,
146,만도,"29,950",100,+0.34%,"1,000","14,064","46,957",24.24,"333,879",-33.96,7.55,
